keytag,type,typecode,adname,tel,address,pname,biz_type,cityname,atag,name,location,rating,cost
烧烤,餐饮服务;中餐厅;特色/地方风味餐厅,050118,上城区,17280744194,新业路228号来福士6层,浙江省,diner,杭州市,"呼伦贝尔羊肉串,就是呼伦贝尔羊肉串,五花肉,烤肉,羊肉,羊肉串",很久以前羊肉串(杭州来福士店),"120.212917,30.249512",4.6,87
打边炉,餐饮服务;中餐厅;火锅店,050117,上城区,0571-86892889,新业路228号来福士中心1幢5001、5002、5004室,浙江省,diner,杭州市,"牛肉,双人餐",上房火鍋(杭州来福士中心店),"120.212440,30.248310",4.7,487
牛肉火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-86091580,四季青街道新业路228号杭州来福士中心3层15/16号,浙江省,diner,杭州市,"牛肉,双人餐",八合里潮汕鲜牛肉火锅(杭州来福士店),"120.212709,30.249027",4.6,105
牛肉火锅,餐饮服务;中餐厅;中餐厅,050100,上城区,19705029822,民心路与新业路交叉路口往东北约150米中国人寿大厦2号楼2层206室,浙江省,diner,杭州市,[],泉市鲜活牛肉店(钱江新城店),"120.212096,30.250237",4.7,111
自助餐,餐饮服务;外国餐厅;日本料理,050202,上城区,0571-86022015,新业路228号杭州来福士中心六楼,浙江省,diner,杭州市,"虎皮凤爪,椒麻大虾,渣渣牛肉锅,热卤猪蹄,小龙虾,云南风味酸菜牛肉锅,双人餐,牛肉,自助餐",牛New寿喜烧(来福士店),"120.212943,30.249170",4.7,172
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-88969777;19157816942,西子火锅·钱塘江江景餐厅(来福士店),浙江省,diner,杭州市,"小火锅,牛肉饼,鹅肉,烧鹅,鲍鱼,帝王蟹",西子火锅(来福士店),"120.212391,30.248369",4.7,569
海鲜火锅,餐饮服务;中餐厅;海鲜酒楼,050119,上城区,0571-87569999;18413259794,新业路228号来福士中心T2,浙江省,diner,杭州市,"牛乳,三文鱼,特色菜,油条,薯条",巴芬港海鲜姿造(来福士店),"120.213796,30.249151",4.7,1450
粤菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-88370188;18958026398;19357639397,来福士中心1幢5801室,浙江省,diner,杭州市,"帝王蟹两仪,黑松露玻璃乳鸽,黑松露蛋白蒸龙虾,鲍汁焖猪手,黄油蟹,官燕锦鲤布丁,招牌瑶柱炖响螺,龙虾汤蒸帝王蟹,文火雪花牛小排,宫廷鸽吞燕,碳烧牛肋骨,伊比利亚5J火腿,十年花雕醉台山膏蟹,酸汤大鲍翅,招牌鲜果拿破仑,龙虾汤蒸松叶蟹,潮汕生腌小青龙,榄仁桂花阿拉斯加蟹,红胡椒砂锅焗蟹,苏格兰竹蛏皇,黑松露脆皮黄玉参,柠檬,点心,鸡汤,鹅肝,火腿,鸡爪",粤榕轩·君宴,"120.212506,30.248438",4.7,498
自助餐,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-81968111;0571-88127222,新业路228号来福士广场中心03层07号,浙江省,diner,杭州市,"刺身拼盘,牛肉,三文鱼,刺身,寿司,龙虾,芝士,鲍鱼",極上萬膳·日料放题(来福士中心店),"120.212521,30.248316",4.7,349
中餐,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-85555188,解放东路45号高德商场F5层,浙江省,diner,杭州市,"土豆泥,巧克力,杨枝甘露,牛肉,牛蛙,鲍鱼,奶油,水果茶,红烧肉,下午茶,芋泥,虾仁",3号仓库·创意中国菜(钱江新城店),"120.208308,30.243343",4.7,106
