name,adname,type,rating,cost,性价比,cluster,餐厅类型
很久以前羊肉串(杭州来福士店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,87,1.0273964614690458,1,大众品质型
上房火鍋(杭州来福士中心店),上城区,餐饮服务;中餐厅;火锅店,4.7,487,0.7592504891682894,2,高消费高品质型
八合里潮汕鲜牛肉火锅(杭州来福士店),上城区,餐饮服务;中餐厅;火锅店,4.6,105,0.9863964999152313,1,大众品质型
泉市鲜活牛肉店(钱江新城店),上城区,餐饮服务;中餐厅;中餐厅,4.7,111,0.9960795007480808,1,大众品质型
牛New寿喜烧(来福士店),上城区,餐饮服务;外国餐厅;日本料理,4.7,172,0.9120384348167367,1,大众品质型
西子火锅(来福士店),上城区,餐饮服务;中餐厅;火锅店,4.7,569,0.7406664568762473,2,高消费高品质型
巴芬港海鲜姿造(来福士店),上城区,餐饮服务;中餐厅;海鲜酒楼,4.7,1450,0.6456036637235896,2,高消费高品质型
粤榕轩·君宴,上城区,餐饮服务;中餐厅;中餐厅,4.7,498,0.7565263156172235,2,高消费高品质型
極上萬膳·日料放题(来福士中心店),上城区,餐饮服务;中餐厅;中餐厅,4.7,349,0.8023307668512372,2,高消费高品质型
3号仓库·创意中国菜(钱江新城店),上城区,餐饮服务;中餐厅;中餐厅,4.7,106,1.0058147144910827,1,大众品质型
左庭右院鲜牛肉火锅(来福士店),上城区,餐饮服务;中餐厅;火锅店,4.6,133,0.9391895586389133,1,大众品质型
席作·福建会馆(杭州高德置地广场店),上城区,餐饮服务;中餐厅;福建菜,4.7,441,0.771591019171211,2,高消费高品质型
南马道斑鱼鲜火锅(杭州来福士中心店),上城区,餐饮服务;中餐厅;火锅店,4.5,120,0.9383228807045542,1,大众品质型
肯德基(杭州来福士店),上城区,餐饮服务;快餐厅;肯德基,4.4,29,1.2936620566989068,0,平价高性价比型
杭州酒家(钱江新城市民中心店),上城区,餐饮服务;中餐厅;中餐厅,4.5,67,1.0664751232661125,1,大众品质型
杭儿风餐厅(来福士店),上城区,餐饮服务;中餐厅;浙江菜,4.6,135,0.9363572461310381,1,大众品质型
阿毛饭店·传统宁波菜(杭州来福士中心店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.7,104,1.0098925745770306,1,大众品质型
王胜利长沙家菜馆(杭州首店),上城区,餐饮服务;中餐厅;中餐厅,4.6,54,1.1478955672943743,1,大众品质型
鮨冠omakase(杭州首店),上城区,餐饮服务;外国餐厅;日本料理,4.6,1020,0.6639207464438025,2,高消费高品质型
肯德基(杭州砂之船奥莱店),上城区,餐饮服务;快餐厅;快餐厅,4.3,24,1.3358701093031655,0,平价高性价比型
杭越小鲜(杭州来福士中心店),上城区,餐饮服务;中餐厅;特色/地方风味餐厅,4.6,144,0.9243010050528965,1,大众品质型
鸟鸟私房面(来福士臻选店),上城区,餐饮服务;中餐厅;中餐厅,4.5,25,1.381174543935607,0,平价高性价比型
