adname,餐厅数量,平均评分,平均人均消费,最高评分,最低评分,高评分餐厅数量,高评分餐厅占比
西湖区,167,4.6263473053892215,127.40718562874251,4.9,4.4,159,95.21
滨江区,192,4.6234375000000005,96.609375,4.9,4.1,178,92.71
萧山区,209,4.608612440191388,98.52631578947368,4.9,3.6,188,89.95
拱墅区,235,4.600851063829787,100.8936170212766,4.9,3.7,203,86.38
余杭区,98,4.566326530612245,94.33673469387755,4.8,3.8,80,81.63
临安区,11,4.536363636363636,66.18181818181819,4.7,4.2,9,81.82
钱塘区,58,4.5344827586206895,79.70689655172414,4.8,4.0,44,75.86
临平区,47,4.519148936170213,89.31914893617021,4.7,3.7,33,70.21
富阳区,19,4.463157894736842,69.10526315789474,4.8,4.1,10,52.63
淳安县,8,4.4625,87.125,4.7,4.1,5,62.5
上城区,738,4.456639566395664,88.20189701897019,4.8,2.7,490,66.4
桐庐县,8,4.4375,84.625,4.8,3.9,3,37.5
建德市,4,4.35,60.75,4.5,4.2,1,25.0
