name,adname,type,rating,cost
老姑东北人(立涛园店),萧山区,餐饮服务;中餐厅;东北菜,4.9,78
老秦凉都黄牛肉馆(滨江总店),滨江区,餐饮服务;中餐厅;中餐厅,4.9,78
湘香蒸菜馆(湘湖路店),萧山区,餐饮服务;中餐厅;湖南菜(湘菜),4.9,83
老秦凉都黄牛肉馆(萧山店),萧山区,餐饮服务;中餐厅;中餐厅,4.9,83
老秦凉都黄牛肉馆(市心北路店),萧山区,餐饮服务;中餐厅;中餐厅,4.9,85
肉本家·炭烤肉(滨江东和时代店),滨江区,餐饮服务;中餐厅;中餐厅,4.9,106
朱富贵火锅(杭州中大银泰店),拱墅区,餐饮服务;中餐厅;火锅店,4.9,116
朱富贵火锅(杭州拱墅万达店),拱墅区,餐饮服务;中餐厅;火锅店,4.9,120
超火锅(杭州萧山总店),萧山区,餐饮服务;餐饮相关场所;餐饮相关,4.9,130
黄龙海鲜大排档(杭州总店),西湖区,餐饮服务;中餐厅;海鲜酒楼,4.9,160
东京烧肉Itimaru(屏风街店),拱墅区,餐饮服务;外国餐厅;日本料理,4.9,165
乔村二十八道(钱江世纪城店),萧山区,餐饮服务;中餐厅;中餐厅,4.9,166
本分冒菜(元天科技店),滨江区,餐饮服务;快餐厅;快餐厅,4.8,46
荆九爷爆炒桥头三嫩(萧山店),萧山区,餐饮服务;中餐厅;特色/地方风味餐厅,4.8,55
荆九爷爆炒桥头三嫩(滨江店),滨江区,餐饮服务;中餐厅;四川菜(川菜),4.8,55
THREE FINGERS,西湖区,体育休闲服务;娱乐场所;酒吧|餐饮服务;快餐厅;快餐厅,4.8,60
岳阳楼(滨兴小区店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,62
江渔儿成都冷锅鱼(浙港国际店),西湖区,餐饮服务;中餐厅;中餐厅,4.8,66
荆九爷爆炒桥头三嫩(东站店),上城区,餐饮服务;中餐厅;中餐厅,4.8,67
福泰来(北景园店),拱墅区,餐饮服务;中餐厅;东北菜,4.8,69
小牛滚滚贵州黄牛肉火锅(中财店),滨江区,餐饮服务;中餐厅;火锅店,4.8,71
鸟鸟好吃店·成都土砂锅串串(杭州总店),萧山区,餐饮服务;中餐厅;火锅店,4.8,75
周姐焦烤鸡架·东北烧烤夜宵,滨江区,餐饮服务;中餐厅;中餐厅,4.8,77
阿英川菜馆(丰潭路店),拱墅区,餐饮服务;中餐厅;四川菜(川菜),4.8,80
刘老根·东北烧烤酒场(闻涛观潮店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,80
老秦凉都黄牛肉馆(星耀城店),滨江区,餐饮服务;中餐厅;中餐厅,4.8,80
周姐焦烤鸡架·东北烧烤夜宵(隆和国际店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,81
叶老头碳炉草本鸡煲(杭州滨江店),滨江区,餐饮服务;中餐厅;中餐厅,4.8,86
黄龙海鲜大排档(三墩店),西湖区,餐饮服务;中餐厅;海鲜酒楼,4.8,87
金匠寿司(宝龙城店),滨江区,餐饮服务;外国餐厅;日本料理,4.8,89
宽马记大排档·热鲜牛肉海鲜火锅(杭州首店),富阳区,餐饮服务;中餐厅;火锅店,4.8,90
环球渔市,余杭区,餐饮服务;中餐厅;海鲜酒楼,4.8,90
中国凉都黄牛肉馆,余杭区,餐饮服务;中餐厅;中餐厅,4.8,93
照云川菜(萧山店),萧山区,餐饮服务;中餐厅;四川菜(川菜),4.8,96
庆春食堂(国有资本投资大厦店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.8,97
三两好友深夜食堂钱江世纪城店(焗海鲜·烤乳猪·罗氏虾),萧山区,餐饮服务;中餐厅;中餐厅,4.8,100
靓靓蒸虾·鲜鱼杂王·鲜货烧烤(武林广场店),拱墅区,餐饮服务;中餐厅;海鲜酒楼,4.8,105
超火锅(滨江店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.8,107
老纪蚝宅(爱橙街店),余杭区,餐饮服务;中餐厅;海鲜酒楼,4.8,109
李白图书馆餐厅?杭帮菜名店(西溪湿地店),余杭区,餐饮服务;中餐厅;中餐厅,4.8,112
老谢潮州菜(香积寺路店),拱墅区,餐饮服务;中餐厅;潮州菜,4.8,112
今晚食乜餸海鲜大排档,拱墅区,餐饮服务;中餐厅;海鲜酒楼,4.8,118
瓷·忆赣菜中心(杭州),上城区,餐饮服务;中餐厅;中餐厅,4.8,119
海底捞火锅(杭州天虹购物中心店),上城区,餐饮服务;中餐厅;火锅店,4.8,120
藏鲜工坊(庆春店),上城区,餐饮服务;中餐厅;海鲜酒楼,4.8,120
郑阿公顺德鸡煲饭双皮奶(萧山店),萧山区,餐饮服务;中餐厅;中餐厅,4.8,120
海底捞火锅(杭州萧山归谷中心店),萧山区,餐饮服务;中餐厅;火锅店,4.8,120
海底捞火锅(杭州萧山银隆百货店),萧山区,餐饮服务;中餐厅;火锅店,4.8,120
海底捞火锅(杭州萧山金城路店),萧山区,餐饮服务;中餐厅;火锅店,4.8,120
