adname,区内排名,name,type,rating,cost,性价比
上城区,1,荆九爷爆炒桥头三嫩(东站店),餐饮服务;中餐厅;中餐厅,4.8,67,1.1376
上城区,2,庆春食堂(国有资本投资大厦店),餐饮服务;餐饮相关场所;餐饮相关,4.8,97,1.0469
上城区,3,瓷·忆赣菜中心(杭州),餐饮服务;中餐厅;中餐厅,4.8,119,1.0026
上城区,4,海底捞火锅(杭州天虹购物中心店),餐饮服务;中餐厅;火锅店,4.8,120,1.0009
上城区,5,藏鲜工坊(庆春店),餐饮服务;中餐厅;海鲜酒楼,4.8,120,1.0009
上城区,6,娃哈哈同乐舫(庆春店),餐饮服务;中餐厅;广东菜(粤菜),4.8,131,0.983
上城区,7,黄龙海鲜大排档(庆春店),餐饮服务;中餐厅;中餐厅,4.8,134,0.9785
上城区,8,啫卤爷,餐饮服务;快餐厅;快餐厅,4.8,134,0.9785
上城区,9,东庭会·宴,餐饮服务;中餐厅;中餐厅,4.8,150,0.9567
上城区,10,活蹦乱跳海鲜餐厅(丁桥店),餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;广东菜(粤菜),4.8,150,0.9567
临安区,1,宽马记大排档·热鲜牛肉海鲜火锅(临安店),餐饮服务;中餐厅;火锅店,4.7,90,1.0419
临安区,2,印象临安(城东店),餐饮服务;中餐厅;中餐厅|商务住宅;商务住宅相关;商务住宅相关,4.7,97,1.0251
临安区,3,海底捞火锅(临安苕溪商业广场店),餐饮服务;中餐厅;火锅店,4.7,120,0.98
临安区,4,小米椒烤鱼坊(广苑小区店),餐饮服务;中餐厅;四川菜(川菜),4.6,44,1.2084
临安区,5,忆浙西·浙西农家菜(龙岗店),餐饮服务;中餐厅;安徽菜(徽菜),4.6,79,1.0497
临安区,6,老安徽砂锅(新民街店),餐饮服务;中餐厅;安徽菜(徽菜),4.5,28,1.3364
临安区,7,皖北囍阿婆地锅鸡,餐饮服务;中餐厅;中餐厅,4.5,37,1.2371
临安区,8,兄弟龙虾(广苑小区店),餐饮服务;中餐厅;中餐厅,4.5,53,1.1281
临安区,9,湘先生米小姐(临安人民广场店),餐饮服务;中餐厅;湖南菜(湘菜),4.5,55,1.1179
临平区,1,孔岳冒菜(临平店),餐饮服务;中餐厅;中餐厅,4.7,50,1.1954
临平区,2,137烧烤龙虾烤鱼.新疆羊肉串(南大街店),餐饮服务;中餐厅;特色/地方风味餐厅,4.7,60,1.1433
临平区,3,東大方(临平东湖路店),餐饮服务;餐饮相关场所;餐饮相关,4.7,68,1.11
临平区,4,忆味东北美食体验基地,餐饮服务;中餐厅;中餐厅,4.7,68,1.11
临平区,5,江南宴宴会中心,餐饮服务;中餐厅;中餐厅,4.7,74,1.0886
临平区,6,洪星渔庄·临平菜(星万里店),餐饮服务;中餐厅;浙江菜,4.7,75,1.0853
临平区,7,那些年·花园西餐·窑炉披萨(新天地店),餐饮服务;咖啡厅;咖啡厅,4.7,100,1.0184
临平区,8,永遇乐海鲜自助餐厅·火锅烤肉蒸锅,餐饮服务;中餐厅;中餐厅,4.7,103,1.012
临平区,9,宽马记大排档·热鲜牛肉海鲜火锅(临平店),餐饮服务;中餐厅;中餐厅,4.7,106,1.0058
临平区,10,虾不打烊小龙虾馆,餐饮服务;中餐厅;中餐厅,4.7,109,0.9999
余杭区,1,环球渔市,餐饮服务;中餐厅;海鲜酒楼,4.8,90,1.0641
余杭区,2,中国凉都黄牛肉馆,餐饮服务;中餐厅;中餐厅,4.8,93,1.0565
余杭区,3,老纪蚝宅(爱橙街店),餐饮服务;中餐厅;海鲜酒楼,4.8,109,1.0212
余杭区,4,李白图书馆餐厅?杭帮菜名店(西溪湿地店),餐饮服务;中餐厅;中餐厅,4.8,112,1.0154
余杭区,5,吾庐有闲,餐饮服务;中餐厅;广东菜(粤菜),4.8,150,0.9567
余杭区,6,郑阿公顺德鸡煲饭双皮奶(八方城店),餐饮服务;中餐厅;中餐厅,4.7,28,1.3958
余杭区,7,三冬麻辣串,餐饮服务;中餐厅;中餐厅,4.7,39,1.2741
余杭区,8,马丫东北饭儿(未来科技城店),餐饮服务;中餐厅;中餐厅,4.7,56,1.1625
余杭区,9,马丫东北饭儿(金昌路店),餐饮服务;中餐厅;东北菜,4.7,64,1.1259
余杭区,10,渝妹重庆火锅,餐饮服务;中餐厅;火锅店,4.7,70,1.1026
富阳区,1,宽马记大排档·热鲜牛肉海鲜火锅(杭州首店),餐饮服务;中餐厅;火锅店,4.8,90,1.0641
富阳区,2,111white三白咖啡·西餐(银湖美和院店),餐饮服务;餐饮相关场所;餐饮相关,4.7,42,1.2496
富阳区,3,东北特色铁锅炖(孙权路店),餐饮服务;中餐厅;中餐厅,4.6,61,1.1146
富阳区,4,菲滋意式餐厅(富阳物美店),餐饮服务;外国餐厅;意式菜品餐厅,4.6,68,1.0864
富阳区,5,小红砂锅(三根桥店),餐饮服务;中餐厅;中餐厅,4.6,81,1.0439
富阳区,6,Moss苔藓·创意融合料理,餐饮服务;中餐厅;中餐厅,4.6,95,1.0078
富阳区,7,富红姐鱼头,餐饮服务;中餐厅;中餐厅,4.5,62,1.0861
富阳区,8,东北特色铁锅炖(青云桥店),餐饮服务;中餐厅;中餐厅,4.5,73,1.0455
富阳区,9,缦云里花园餐厅(秦望水街店),餐饮服务;外国餐厅;西餐厅(综合风味),4.5,79,1.0269
富阳区,10,三两好友深夜食堂富阳店·小龙虾·焗海鲜·烤乳猪,餐饮服务;中餐厅;中餐厅,4.5,100,0.9751
建德市,1,浙皖饭店,餐饮服务;中餐厅;中餐厅,4.5,71,1.0522
拱墅区,1,朱富贵火锅(杭州中大银泰店),餐饮服务;中餐厅;火锅店,4.9,116,1.0289
拱墅区,2,朱富贵火锅(杭州拱墅万达店),餐饮服务;中餐厅;火锅店,4.9,120,1.0217
拱墅区,3,东京烧肉Itimaru(屏风街店),餐饮服务;外国餐厅;日本料理,4.9,165,0.9585
拱墅区,4,福泰来(北景园店),餐饮服务;中餐厅;东北菜,4.8,69,1.1298
拱墅区,5,阿英川菜馆(丰潭路店),餐饮服务;中餐厅;四川菜(川菜),4.8,80,1.0923
拱墅区,6,靓靓蒸虾·鲜鱼杂王·鲜货烧烤(武林广场店),餐饮服务;中餐厅;海鲜酒楼,4.8,105,1.0293
拱墅区,7,老谢潮州菜(香积寺路店),餐饮服务;中餐厅;潮州菜,4.8,112,1.0154
拱墅区,8,今晚食乜餸海鲜大排档,餐饮服务;中餐厅;海鲜酒楼,4.8,118,1.0044
拱墅区,9,泉市鲜活牛肉店(太合C区店),餐饮服务;中餐厅;中餐厅,4.8,122,0.9975
拱墅区,10,光头龙虾烧烤(信义坊步行街店),餐饮服务;中餐厅;特色/地方风味餐厅,4.8,123,0.9958
桐庐县,1,海底捞火锅(桐庐书香同城店),餐饮服务;中餐厅;火锅店,4.8,120,1.0009
桐庐县,2,春江酸菜鱼馆(春江西路总店),餐饮服务;中餐厅;四川菜(川菜),4.6,73,1.0688
桐庐县,3,江南公社(桐庐店),餐饮服务;中餐厅;湖南菜(湘菜),4.6,74,1.0654
淳安县,1,锦遇·唐风宋韵灶台鱼里·正宗淳牌鱼,餐饮服务;中餐厅;中餐厅,4.7,71,1.099
淳安县,2,小渔村全湖景餐厅(湖光里店),餐饮服务;中餐厅;中餐厅,4.6,66,1.094
淳安县,3,渔湘记本地特色鱼头馆,餐饮服务;中餐厅;中餐厅,4.6,99,0.9989
淳安县,4,浙皖楼饭店,餐饮服务;中餐厅;中餐厅,4.5,75,1.0391
淳安县,5,淳安县潮汕牛肉馆,餐饮服务;中餐厅;中餐厅,4.5,91,0.9952
滨江区,1,老秦凉都黄牛肉馆(滨江总店),餐饮服务;中餐厅;中餐厅,4.9,78,1.1214
滨江区,2,肉本家·炭烤肉(滨江东和时代店),餐饮服务;中餐厅;中餐厅,4.9,106,1.0486
滨江区,3,本分冒菜(元天科技店),餐饮服务;快餐厅;快餐厅,4.8,46,1.2467
滨江区,4,荆九爷爆炒桥头三嫩(滨江店),餐饮服务;中餐厅;四川菜(川菜),4.8,55,1.1924
滨江区,5,岳阳楼(滨兴小区店),餐饮服务;餐饮相关场所;餐饮相关,4.8,62,1.1585
滨江区,6,小牛滚滚贵州黄牛肉火锅(中财店),餐饮服务;中餐厅;火锅店,4.8,71,1.1224
滨江区,7,周姐焦烤鸡架·东北烧烤夜宵,餐饮服务;中餐厅;中餐厅,4.8,77,1.1017
滨江区,8,刘老根·东北烧烤酒场(闻涛观潮店),餐饮服务;餐饮相关场所;餐饮相关,4.8,80,1.0923
滨江区,9,老秦凉都黄牛肉馆(星耀城店),餐饮服务;中餐厅;中餐厅,4.8,80,1.0923
滨江区,10,周姐焦烤鸡架·东北烧烤夜宵(隆和国际店),餐饮服务;餐饮相关场所;餐饮相关,4.8,81,1.0892
