type,类型内排名,name,adname,rating,cost,性价比
体育休闲服务;娱乐场所;酒吧|餐饮服务;中餐厅;中餐厅,1,COMMUNE幻师(杭州湖滨in77店),上城区,4.6,93,1.0125
体育休闲服务;娱乐场所;酒吧|餐饮服务;咖啡厅;咖啡厅,1,RayPub暗光(中河店),上城区,4.7,90,1.0419
体育休闲服务;娱乐场所;酒吧|餐饮服务;外国餐厅;西餐厅(综合风味),1,COMMUNE幻师(远洋乐堤港B区店),拱墅区,4.7,93,1.0345
体育休闲服务;娱乐场所;酒吧|餐饮服务;快餐厅;快餐厅,1,THREE FINGERS,西湖区,4.8,60,1.1676
商务住宅;住宅区;住宅小区|餐饮服务;中餐厅;广东菜(粤菜),1,熹粤荟·岚廷,拱墅区,4.6,260,0.8267
地名地址信息;普通地名;村庄级地名|餐饮服务;中餐厅;中餐厅,1,王阿盖手工小吃(庆春银泰店),上城区,4.6,27,1.3805
购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;甜品店;甜品店,1,意坊(西湖大道店),上城区,4.7,217,0.8729
购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,1,何小姐鲜牛肉火锅(通惠中路店),萧山区,4.7,67,1.1139
购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,2,gaga,上城区,4.7,140,0.9497
购物服务;购物相关场所;购物相关场所|餐饮服务;餐饮相关场所;餐饮相关,1,山城兄弟·重庆江湖菜·黑金店,拱墅区,4.7,87,1.0497
餐饮服务;中餐厅;东北菜,1,老姑东北人(立涛园店),萧山区,4.9,78,1.1214
餐饮服务;中餐厅;东北菜,2,福泰来(北景园店),拱墅区,4.8,69,1.1298
餐饮服务;中餐厅;东北菜,3,老嘎达东北菜(原东北菜馆高沙店),钱塘区,4.7,61,1.1388
餐饮服务;中餐厅;东北菜,4,夏大厨铁锅炖·东北菜·烧烤(钱江世纪城店),萧山区,4.7,63,1.1301
餐饮服务;中餐厅;东北菜,5,马丫东北饭儿(金昌路店),余杭区,4.7,64,1.1259
餐饮服务;中餐厅;东北菜,6,广源东北菜(文创大厦店),钱塘区,4.7,66,1.1178
餐饮服务;中餐厅;东北菜,7,郭包又东北菜(北软中天园店),拱墅区,4.7,69,1.1063
餐饮服务;中餐厅;东北菜,8,东北一锅香(丰谭路城西店),西湖区,4.7,72,1.0955
餐饮服务;中餐厅;东北菜,9,马丫东北饭儿(江南大道店),滨江区,4.7,76,1.082
餐饮服务;中餐厅;东北菜,10,兴玉东北烧烤东北菜(新时代陶瓷店),西湖区,4.7,80,1.0695
餐饮服务;中餐厅;东北菜|餐饮服务;中餐厅;火锅店,1,兴玉·东北烧烤火锅(新塘店),上城区,4.7,77,1.0788
