排名,name,adname,type,rating,cost,性价比
1,昙花庵路(蜜雪冰城店),上城区,餐饮服务;冷饮店;冷饮店,4.5,7,2.164
2,蜜雪冰城(双菱路137-1),上城区,餐饮服务;冷饮店;冷饮店,4.3,7,2.0679
3,蜜雪冰城(尊宝大厦店),上城区,餐饮服务;冷饮店;冷饮店,4.2,7,2.0198
4,蜜雪冰城(四季青店),上城区,餐饮服务;冷饮店;冷饮店,4.2,7,2.0198
5,蜜雪冰城(观音塘店),上城区,餐饮服务;冷饮店;冷饮店,3.9,7,1.8755
6,蜜雪冰城(昆龙美食城店),上城区,餐饮服务;冷饮店;冷饮店,3.9,7,1.8755
7,晓麟家奶茶(采荷店),上城区,餐饮服务;冷饮店;冷饮店,4.6,8,2.0936
8,蜜雪冰城(悦玺店),上城区,餐饮服务;冷饮店;冷饮店,4.0,8,1.8205
9,森林子 · 果蔬茶(杭州来福士店),上城区,餐饮服务;冷饮店;冷饮店,3.9,8,1.775
10,蜜雪冰城(双菱路店),上城区,餐饮服务;冷饮店;冷饮店,4.3,9,1.8675
11,库迪咖啡(世包国际中心店),上城区,餐饮服务;咖啡厅;咖啡厅,4.1,9,1.7806
12,库迪咖啡(杭州天虹购物中心店),上城区,餐饮服务;咖啡厅;咖啡厅,4.1,9,1.7806
13,蜜雪冰城(近江店),上城区,餐饮服务;冷饮店;冷饮店,4.1,9,1.7806
14,蜜雪冰城,上城区,餐饮服务;冷饮店;冷饮店,4.1,9,1.7806
15,库迪咖啡(杭州市民中心地铁站店),上城区,餐饮服务;咖啡厅;咖啡厅,4.0,9,1.7372
16,库迪咖啡(钱江国际时代广场店),上城区,餐饮服务;咖啡厅;咖啡厅,4.0,9,1.7372
17,库迪咖啡(杭州永盈大厦店),上城区,餐饮服务;咖啡厅;咖啡厅,4.0,9,1.7372
18,库迪咖啡(庆春广场地铁店),上城区,餐饮服务;咖啡厅;咖啡厅,4.0,9,1.7372
19,徽州小馆,桐庐县,餐饮服务;餐饮相关场所;餐饮相关,3.9,9,1.6937
20,库迪咖啡(高德置地中心店),上城区,餐饮服务;咖啡厅;咖啡厅,3.9,9,1.6937
21,库迪咖啡(杭州爵优科技大厦店),上城区,餐饮服务;咖啡厅;咖啡厅,3.9,9,1.6937
22,库迪咖啡(四季青清江路店),上城区,餐饮服务;咖啡厅;咖啡厅,3.8,9,1.6503
23,库迪咖啡(杭州财富金融中心店),上城区,餐饮服务;咖啡厅;咖啡厅,3.5,9,1.52
24,库迪咖啡(杭州钱塘航空大厦店),上城区,餐饮服务;咖啡厅;咖啡厅,3.5,9,1.52
25,蜜雪冰城(太平门直街店),上城区,餐饮服务;冷饮店;冷饮店,4.4,10,1.8349
26,1点点(江干四季青店),上城区,餐饮服务;冷饮店;冷饮店,4.3,10,1.7932
27,晓麟奶茶(近江家园店),上城区,餐饮服务;冷饮店;冷饮店,4.6,11,1.8512
28,CoCo都可(太平门直街店),上城区,餐饮服务;冷饮店;冷饮店,4.3,12,1.6764
29,CoCo都可(万象城美广店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.2,12,1.6375
30,宇宙治茶(景芳地铁店),上城区,餐饮服务;餐饮相关场所;餐饮相关,4.2,12,1.6375
31,CoCo都可(近江天阳店),上城区,餐饮服务;冷饮店;冷饮店,4.1,12,1.5985
32,重庆四间火锅(杭州首店),滨江区,餐饮服务;餐饮相关场所;餐饮相关,4.7,13,1.7809
33,瑞幸咖啡(501城市广场店),上城区,餐饮服务;咖啡厅;咖啡厅,4.6,13,1.743
34,瑞幸咖啡(迪凯国际店),上城区,餐饮服务;咖啡厅;咖啡厅,4.5,13,1.7052
35,弯湾·爱生活茶饮铺(金牛坊店),上城区,餐饮服务;冷饮店;冷饮店,4.5,13,1.7052
36,瑞幸咖啡(采东路店),上城区,餐饮服务;咖啡厅;咖啡厅,4.3,13,1.6294
