keytag,餐厅数量,平均评分,平均人均消费
江浙菜,122,4.64,110.43
奶茶/茶饮,102,4.11,16.81
西餐,98,4.59,140.9
东北菜,95,4.59,64.31
湘菜,91,4.53,63.98
中餐,88,4.58,130.23
徽菜,83,4.38,62.79
火锅,83,4.69,139.66
日本料理,80,4.63,187.2
咖啡,79,4.2,23.47
粤菜,77,4.63,153.16
烧烤,74,4.56,82.42
小吃快餐,72,4.49,42.03
川菜,68,4.66,80.04
西式快餐,67,4.47,36.78
小龙虾,61,4.54,97.48
海鲜,52,4.65,132.71
烤肉,44,4.54,96.95
自助餐,32,4.64,165.34
饮品,27,4.43,26.96
杭帮菜,26,4.63,127.88
牛肉火锅,24,4.68,84.12
重庆火锅,14,4.66,93.0
浙菜,13,4.66,162.69
火锅鸡,11,4.65,67.09
水产海鲜,11,4.62,115.55
串串香,9,4.68,72.78
小火锅,8,4.49,57.12
海鲜火锅,8,4.71,365.0
烤串,7,4.21,78.14
意大利菜,7,4.56,56.71
海鲜餐厅,7,4.73,138.43
四川火锅,6,4.65,117.17
创意菜,6,4.7,154.5
寿司,6,4.7,109.17
日式烧烤,6,4.63,254.83
私房菜,6,4.55,136.33
鱼,6,4.55,73.0
面馆,6,4.55,51.33
潮汕火锅,6,4.68,84.83
烤鱼,5,4.58,74.8
本地鸡窝火锅,5,4.66,69.4
农家菜,5,4.56,70.4
大排档,4,4.6,99.0
主题餐厅,4,4.7,103.5
烤全羊,4,4.25,83.25
家常菜,3,4.67,70.33
甜品店,3,4.27,16.33
特色菜系,3,4.47,83.0
鱼火锅,3,4.63,87.67
牛排,3,4.67,151.33
毛肚火锅,3,4.7,122.67
潮州菜,3,4.57,252.0
衢州菜,2,4.7,69.5
闽菜,2,4.7,276.5
新疆菜,2,4.6,71.5
川味小吃,2,4.6,41.5
东南亚菜,2,4.65,109.0
云南火锅,2,4.6,86.5
羊蝎子火锅,2,4.7,91.5
砂锅,2,4.65,67.0
粤式茶点,2,4.7,56.0
特色小吃,2,4.65,27.5
果汁,2,4.3,17.0
法国菜,2,4.5,165.5
顺德菜,2,4.65,110.5
酒吧,2,4.75,150.0
肉类,2,4.5,76.5
刺身,1,4.7,387.0
北京菜,1,4.7,208.0
大闸蟹,1,4.5,110.0
打边炉,1,4.7,487.0
拉面,1,4.1,16.0
安徽小吃,1,4.6,23.0
居酒屋,1,4.6,144.0
云南菜,1,4.4,70.0
椰子鸡,1,4.6,84.0
汤锅,1,4.0,14.0
涮羊肉,1,4.5,86.0
牛肉,1,4.7,49.0
牛排自助,1,4.5,63.0
烧仙草,1,4.0,15.0
清吧,1,4.6,111.0
柴火鸡,1,4.6,75.0
糖水,1,4.1,22.0
美食城,1,4.7,56.0
肉蟹煲,1,4.6,83.0
蛋糕店,1,4.4,33.0
虾蟹火锅,1,4.7,108.0
茶点,1,4.7,116.0
西餐自助,1,4.1,165.0
"餐饮服务,餐饮相关场所,餐饮相关",1,4.7,106.0
音乐餐厅,1,4.7,95.0
韩国料理,1,4.6,81.0
鱼头,1,4.6,99.0
