type,餐厅数量,平均评分,平均人均消费,消费排名
日本料理,99,4.64,186.99,1
外国餐厅,190,4.61,163.75,2
广东菜(粤菜),27,4.64,162.41,3
海鲜酒楼,89,4.63,148.73,4
西餐厅(综合风味),34,4.59,137.06,5
火锅店,157,4.66,120.38,6
浙江菜,35,4.62,109.8,7
中餐厅,1100,4.59,103.27,8
餐饮服务,1781,4.54,95.27,9
餐饮相关场所,175,4.53,91.71,10
餐饮相关,174,4.53,90.53,11
四川菜(川菜),36,4.65,87.97,12
特色/地方风味餐厅,63,4.52,78.08,13
意式菜品餐厅,22,4.49,73.82,14
安徽菜(徽菜),34,4.41,66.88,15
东北菜,38,4.58,64.79,16
湖南菜(湘菜),60,4.54,63.92,17
快餐厅,131,4.48,41.82,18
肯德基,25,4.47,33.72,19
星巴克咖啡,21,4.44,30.24,20
麦当劳,42,4.49,28.48,21
咖啡厅,101,4.25,27.84,22
冷饮店,86,4.16,21.84,23
休闲餐饮场所,10,4.14,18.4,24
