type,餐厅数量,平均评分,平均人均消费,评分排名
火锅店,157,4.66,120.38,1
四川菜(川菜),36,4.65,87.97,2
日本料理,99,4.64,186.99,3
广东菜(粤菜),27,4.64,162.41,4
海鲜酒楼,89,4.63,148.73,5
浙江菜,35,4.62,109.8,6
外国餐厅,190,4.61,163.75,7
中餐厅,1100,4.59,103.27,8
西餐厅(综合风味),34,4.59,137.06,9
东北菜,38,4.58,64.79,10
餐饮服务,1781,4.54,95.27,11
湖南菜(湘菜),60,4.54,63.92,12
餐饮相关场所,175,4.53,91.71,13
餐饮相关,174,4.53,90.53,14
特色/地方风味餐厅,63,4.52,78.08,15
麦当劳,42,4.49,28.48,16
意式菜品餐厅,22,4.49,73.82,17
快餐厅,131,4.48,41.82,18
肯德基,25,4.47,33.72,19
星巴克咖啡,21,4.44,30.24,20
安徽菜(徽菜),34,4.41,66.88,21
咖啡厅,101,4.25,27.84,22
冷饮店,86,4.16,21.84,23
休闲餐饮场所,10,4.14,18.4,24
