type,餐厅数量,平均人均消费,平均评分
餐饮服务;中餐厅;东北菜,37,65.14,4.58
餐饮服务;中餐厅;中餐厅,528,98.81,4.58
餐饮服务;中餐厅;四川菜(川菜),32,90.0,4.66
餐饮服务;中餐厅;安徽菜(徽菜),34,66.88,4.41
餐饮服务;中餐厅;广东菜(粤菜),25,159.0,4.64
餐饮服务;中餐厅;浙江菜,31,109.9,4.62
餐饮服务;中餐厅;海鲜酒楼,82,142.82,4.63
餐饮服务;中餐厅;湖南菜(湘菜),60,63.92,4.54
餐饮服务;中餐厅;火锅店,152,121.57,4.66
餐饮服务;中餐厅;特色/地方风味餐厅,61,77.33,4.52
餐饮服务;休闲餐饮场所;休闲餐饮场所,10,18.4,4.14
餐饮服务;冷饮店;冷饮店,82,16.39,4.15
餐饮服务;咖啡厅;咖啡厅,76,25.51,4.18
餐饮服务;咖啡厅;星巴克咖啡,21,30.24,4.44
餐饮服务;外国餐厅;外国餐厅,19,132.68,4.6
餐饮服务;外国餐厅;意式菜品餐厅,21,74.1,4.5
餐饮服务;外国餐厅;日本料理,99,186.99,4.64
餐饮服务;外国餐厅;西餐厅(综合风味),31,142.94,4.59
餐饮服务;快餐厅;快餐厅,56,53.77,4.49
餐饮服务;快餐厅;肯德基,25,33.72,4.47
餐饮服务;快餐厅;麦当劳,42,28.48,4.49
餐饮服务;餐饮相关场所;餐饮相关,171,90.4,4.53
