type,餐厅数量,平均评分,平均人均消费
餐饮服务,1781,4.54,95.27
中餐厅,1100,4.59,103.27
外国餐厅,190,4.61,163.75
餐饮相关场所,175,4.53,91.71
餐饮相关,174,4.53,90.53
火锅店,157,4.66,120.38
快餐厅,131,4.48,41.82
咖啡厅,101,4.25,27.84
日本料理,99,4.64,186.99
海鲜酒楼,89,4.63,148.73
冷饮店,86,4.16,21.84
特色/地方风味餐厅,63,4.52,78.08
湖南菜(湘菜),60,4.54,63.92
麦当劳,42,4.49,28.48
东北菜,38,4.58,64.79
四川菜(川菜),36,4.65,87.97
浙江菜,35,4.62,109.8
西餐厅(综合风味),34,4.59,137.06
安徽菜(徽菜),34,4.41,66.88
广东菜(粤菜),27,4.64,162.41
肯德基,25,4.47,33.72
意式菜品餐厅,22,4.49,73.82
星巴克咖啡,21,4.44,30.24
休闲餐饮场所,10,4.14,18.4
牛扒店(扒房),8,4.59,157.0
海鲜酒楼|餐饮服务,8,4.65,142.75
综合酒楼,8,4.64,97.75
潮州菜,7,4.69,221.86
必胜客,6,4.43,56.33
购物服务,6,4.55,91.67
娱乐场所,5,4.7,91.2
火锅店|餐饮服务,5,4.72,190.4
服装鞋帽皮具店,5,4.52,92.6
特色/地方风味餐厅|餐饮服务,4,4.55,64.75
西餐厅(综合风味)|餐饮服务,4,4.55,119.75
酒吧|餐饮服务,4,4.7,84.0
服装鞋帽皮具店|餐饮服务,4,4.58,111.25
浙江菜|餐饮服务,4,4.62,106.5
体育休闲服务,4,4.7,84.0
四川菜(川菜)|餐饮服务,3,4.57,65.33
甜品店,3,4.4,97.33
体育休闲服务场所,3,4.7,166.33
茶艺馆,2,4.7,169.5
广东菜(粤菜)|餐饮服务,2,4.7,248.5
意式菜品餐厅|餐饮服务,2,4.45,68.0
糕饼店,2,4.3,75.0
生活服务场所,2,4.7,83.5
清真菜馆,2,4.55,43.5
东北菜|餐饮服务,2,4.65,70.5
江苏菜,2,4.5,60.0
法式菜品餐厅,2,4.6,797.5
宾馆酒店,2,4.65,96.5
中餐厅|体育休闲服务,1,4.7,81.0
中餐厅|商务住宅,1,4.7,97.0
云贵菜,1,4.4,70.0
住宅区,1,4.6,260.0
地名地址信息,1,4.6,27.0
品牌服装店|餐饮服务,1,4.3,18.0
商务住宅,1,4.6,260.0
商务住宅相关,1,4.7,97.0
公司,1,4.7,277.0
住宅小区|餐饮服务,1,4.6,260.0
咖啡厅|生活服务,1,4.7,68.0
咖啡厅|餐饮服务,1,4.2,50.0
日本料理|生活服务,1,4.7,99.0
日本料理|体育休闲服务,1,4.7,120.0
广东菜(粤菜)|公司企业,1,4.7,277.0
浙江菜|生活服务,1,4.4,65.0
村庄级地名|餐饮服务,1,4.6,27.0
日本料理|餐饮服务,1,4.8,411.0
星巴克咖啡|餐饮服务,1,4.6,30.0
普通地名,1,4.6,27.0
潮州菜|餐饮服务,1,4.7,112.0
湖南菜(湘菜)|餐饮服务,1,4.7,84.0
海鲜酒楼|住宿服务,1,4.7,129.0
美容美发店,1,4.4,65.0
火锅店|体育休闲服务,1,4.7,120.0
特色/地方风味餐厅|住宿服务,1,4.6,64.0
综合酒楼|餐饮服务,1,4.7,120.0
福建菜,1,4.7,441.0
美式风味,1,4.8,125.0
购物相关场所,1,4.7,87.0
茶艺馆|餐饮服务,1,4.7,159.0
西北菜,1,4.7,74.0
购物相关场所|餐饮服务,1,4.7,87.0
酒吧,1,4.7,120.0
韩国料理,1,4.6,55.0
餐饮相关|体育休闲服务,1,4.7,298.0
