字段,数据类型,有效数量,缺失数量,唯一值数量
parent,str,1913,0,757
distance,str,1913,0,1
keytag,str,1913,0,99
importance,str,1913,0,1
biz_ext,str,1913,0,1
type,str,1913,0,87
photos,str,1913,0,1
building,str,1913,0,1
typecode,str,1913,0,87
shopinfo,int64,1913,0,3
poiweight,str,1913,0,1
adname,str,1913,0,13
featured_reviews_remake,str,1913,0,1
tel,str,1913,0,1711
id,str,1913,0,1913
address,str,1913,0,1889
space_num,str,1913,0,1
pname,str,1913,0,1
biz_type,str,1913,0,2
cityname,str,1913,0,1
childtype,str,1913,0,10
atag,str,1913,0,1412
name,str,1913,0,1911
location,str,1913,0,1904
shopid,str,1913,0,1
favorite_num,str,1913,0,1
featured_reviews,str,1913,0,1
rating,float64,221,1692,7
cost,float64,218,1695,130
cost_missing,bool,1913,0,2
rating_missing,bool,1913,0,2
rating_is_zero,bool,1913,0,1
valid_for_model,bool,1913,0,2
type_main,str,1913,0,42
cat_level1,str,1913,0,5
cat_level2,str,1913,0,15
tag_list,str,1913,0,1412
cost_level,str,1913,0,5
score_level,str,1913,0,3
cluster,float64,218,1695,5
