feature,importance
cat_level2_快餐厅,0.38894722039161733
type_main_餐饮服务;外国餐厅;日本料理,0.1422985961855606
cat_level2_外国餐厅,0.09888741950424966
type_main_餐饮服务;中餐厅;特色/地方风味餐厅,0.08897869095363263
type_main_餐饮服务;中餐厅;火锅店,0.05948720736314615
type_main_餐饮服务;中餐厅;海鲜酒楼,0.0534633688460107
type_main_餐饮服务;中餐厅;中餐厅,0.0519011488940326
cat_level2_中餐厅,0.03428474276335771
type_main_餐饮服务;中餐厅;浙江菜,0.029058627380287926
cat_level2_餐饮相关场所,0.02273316104583677
type_main_餐饮服务;餐饮相关场所;餐饮相关,0.017930654488462303
type_main_餐饮服务;外国餐厅;外国餐厅,0.00893877771951094
type_main_餐饮服务;快餐厅;麦当劳,0.0017245876247907244
type_main_餐饮服务;快餐厅;快餐厅,0.0007956268980020318
type_main_餐饮服务;快餐厅;肯德基,0.0005701699415019561
type_main_地名地址信息;普通地名;村庄级地名,0.0
type_main_餐饮服务;中餐厅;东北菜,0.0
type_main_餐饮服务;中餐厅;综合酒楼,0.0
type_main_餐饮服务;中餐厅;福建菜,0.0
type_main_餐饮服务;中餐厅;湖南菜(湘菜),0.0
type_main_餐饮服务;中餐厅;潮州菜,0.0
type_main_餐饮服务;中餐厅;云贵菜,0.0
type_main_餐饮服务;中餐厅;四川菜(川菜),0.0
type_main_餐饮服务;中餐厅;安徽菜(徽菜),0.0
type_main_餐饮服务;中餐厅;江苏菜,0.0
type_main_购物服务;服装鞋帽皮具店;服装鞋帽皮具店,0.0
cat_level1_地名地址信息,0.0
type_main_餐饮服务;外国餐厅;牛扒店(扒房),0.0
type_main_餐饮服务;外国餐厅;西餐厅(综合风味),0.0
cat_level1_购物服务,0.0
cat_level1_餐饮服务,0.0
cat_level2_普通地名,0.0
cat_level2_服装鞋帽皮具店,0.0
