tag,count
双人餐,69
牛肉,56
鸡肉,38
薯条,21
单人餐,21
豆腐,18
家常菜,16
汉堡,16
酸菜鱼,15
龙虾,11
烤肉,11
下午茶,10
糖醋里脊,10
小炒黄牛肉,10
特色菜,10
奶油,9
年糕,9
杨枝甘露,8
小龙虾,8
拌饭,8
素菜,8
羊肉,7
鹅肝,7
羊肉串,7
虾仁,7
红烧肉,7
点心,6
鸡爪,5
锅包肉,5
鲍鱼,5
排骨,5
蔬菜沙拉,5
烤鸭,5
臭豆腐,5
东坡肉,5
寿司,5
堂食,5
脆皮大肠,5
鱼头,4
西湖醋鱼,4
刺身,4
三文鱼,4
烤串,4
烤鱼,4
炒饭,4
小酥肉,4
牛排,4
蘑菇,4
大排档,4
鸡汤,4
螃蟹,4
自助餐,4
葡式蛋挞,4
五花肉,4
柠檬,3
鸡翅,3
提拉米苏,3
芝士,3
麻婆豆腐,3
霸王别鸡,3
安徽臭桂鱼,3
海肠捞饭,3
糖醋排骨,3
火爆腰花,3
东北菜,3
剁椒鱼头,3
毛血旺,3
葱包烩,3
帝王蟹,3
牛肉饼,3
红糖麻糍,3
乳鸽,3
米粉,3
绍兴臭豆腐,3
爆款,3
大脆鸡扒麦满分组合,3
麦辣美味三件套,3
人气美味尽享套餐,3
家有金桶（汉堡版）,3
（2-3人餐）,3
辣椒炒肉,3
家有金桶（脆鸡版）,3
蟹肉,3
海苔岩烧大鸡腿饭,3
黄金鸡块,3
鸡米花,3
大肠,3
KFC芋缘花淇淋,3
麦辣鸡腿堡,3
板烧美味三件套,3
安格斯系列,3
巨无霸汉堡,3
麦当劳超值嗨餐,3
可乐鸡翅,3
原味板烧鸡腿麦满分组合,3
新奥尔良烤鸡腿堡,3
鸭肉,3
现磨咖啡,3
可乐,3
香辣鸡翅,3
肯大大鸡排,3
红豆派,3
小食拼盘,3
醇香土豆泥,3
伴柠伴桔鲜果茶,3
玉米沙拉,3
KFC老北京鸡肉卷,3
小火锅,3
龙井虾仁,3
虾爆鳝,3
KFC香辣（劲脆）鸡腿堡,3
芋缘花淇淋,3
吮指原味鸡,3
雪花肥牛,3
海鲜粉丝,2
招牌鸭血汤,2
脆皮叉烧,2
牛肉粉丝汤,2
鲜肉手工包,2
现切现炒黄牛肉,2
榴莲酥,2
香炸臭豆腐,2
加点五花肉,2
地锅排骨,2
特色小吃,2
石锅豆腐,2
拿破仑,2
披萨,2
肥肠,2
牛蛙,2
虾球,2
鸡加排骨锅,2
鸡加牛骨,2
地锅锡林格勒羊肉,2
大包,2
照烧风味牛肉土豆比萨,2
金尊鲍鱼扇贝比萨,2
拌面,2
经典大阪烧风味海陆比萨,2
金枪鱼海鲜荟萃比萨,2
经典意式肉酱比萨,2
果肉榴莲比萨,2
招牌地锅鸡,2
面包诱惑,2
蛋挞,2
馋嘴蛙,2
老鸭煲,2
干炸臭豆腐,2
小黄鱼,2
椒麻牛舌,2
牛舌,2
招牌豉油虾,2
陈年花雕醉湖蟹,2
北极贝,2
小笼包,2
萧山土三鲜,2
特色湖蟹煲,2
招牌菜,2
爆炒腰花,2
潮汕生腌小青龙,2
蟹黄,2
鸭头,2
鳕鱼杨梅虾球,2
炒螺蛳,2
杭州虾仁爆鳝拌川,2
文火谷饲牛肉配荷叶饼,2
小鸡炖蘑菇,2
花干（豆腐干）,2
小海鲜,2
居酒屋,2
猪肚筒骨鸡,2
番茄锅底,2
肥肠鸡,2
地锅鸡,2
铁锅炖大鹅,2
料理,2
千岛湖螺丝,2
老鹅锅,2
锡林格勒冰煮羊,2
北京烤鸭,2
香肠,2
烤鸡,2
沙蒜豆面,2
西湖牛肉羹,2
杭州酱鸭,2
生煎包,2
蛋炒饭,2
猪肉,2
土猪肉,2
三鲜煲,2
吊龙,2
茄子,2
芋泥,2
肉包,2
虾肉小笼包,2
麻辣烫,2
重庆辣子鸡,2
蒜香排骨,2
咸蛋黄南瓜,2
宋嫂鱼羹,2
酱萝卜,2
海鲜火锅,2
绣球菌,2
牛肉粒,2
长脚蟹,2
牛肉拼盘,2
馄饨,2
竹蛏王,2
兰花蚌,2
澳洲和牛,2
帝王蟹刺身,2
老虎斑刺身,2
深水虾,2
东星斑刺身,2
象牙蚌刺身,2
小馄饨,2
鱼香肉丝,2
火锅烧烤,2
辣椒炒猪肝,2
姥姥炒土鸡蛋,2
农家蒸腊味,2
三层楼火锅,2
生炒土猪肉,2
土菜,2
猪肚,2
尖椒炒笋干,2
黄豆焖鸡爪,2
青菜油豆腐火锅,2
红烧鳝段,2
龙门火锅,2
生炒茶油鸡,2
干炸响铃,2
卤鸭,2
杭三鲜,2
招牌卤鸭,2
钱江肉丝,2
酸汤肥牛,2
片儿川,2
酸辣苏格兰蓝龙,1
蝴蝶里虾饺皇,1
红米脆皮鲜虾肠粉,1
广式腊味煲仔饭,1
肠粉,1
重庆小面,1
宁波菜,1
黄油,1
火炙黄金螺,1
原味蒸蛏,1
香煎鲳鱼,1
酸菜望潮,1
和牛芝香挞,1
炸鲳鱼,1
樱花虾,1
小米辽参,1
冲浪西施舌,1
安格斯牛肉粒,1
金露雪蛤,1
溏心两头鲍,1
香煎带子,1
冒菜,1
风味牛舌,1
嫩肉,1
炸腐皮,1
鲜牛杂鸳鸯锅,1
农家柴火香干,1
现切现炒五花趾,1
手工脆笋炒腊肉,1
下饭鸡杂,1
湘味烤鸭,1
擂椒茄子皮蛋,1
高压锅虎皮凤爪（特辣）,1
湘式跳跳蛙,1
