cost,rating
87.0,4.6
487.0,4.7
105.0,4.6
111.0,4.7
172.0,4.7
569.0,4.7
92.0,4.7
498.0,4.7
349.0,4.7
106.0,4.7
133.0,4.6
441.0,4.7
120.0,4.5
112.0,4.5
29.0,4.4
67.0,4.5
135.0,4.6
104.0,4.7
54.0,4.6
24.0,4.3
144.0,4.6
25.0,4.5
121.0,4.6
27.0,4.5
349.0,4.8
82.0,4.5
65.0,4.6
246.0,4.7
587.0,4.6
518.0,4.6
32.0,4.5
107.0,4.4
47.0,4.5
414.0,4.6
75.0,4.5
65.0,4.4
568.0,4.6
35.0,4.5
84.0,4.6
138.0,4.7
233.0,4.6
450.0,4.7
123.0,4.7
124.0,4.6
260.0,4.7
229.0,4.7
182.0,4.6
151.0,4.7
527.0,4.7
318.0,4.7
46.0,4.6
253.0,4.5
140.0,4.7
208.0,4.7
137.0,4.5
232.0,4.6
134.0,4.7
131.0,4.6
80.0,4.5
38.0,4.3
175.0,4.7
251.0,4.6
235.0,4.6
65.0,4.7
274.0,4.6
38.0,4.5
114.0,4.7
75.0,4.4
253.0,4.7
143.0,4.6
98.0,4.6
31.0,4.4
144.0,4.6
104.0,4.5
631.0,4.7
159.0,4.7
119.0,4.8
278.0,4.6
120.0,4.8
120.0,4.8
128.0,4.6
79.0,4.5
101.0,4.6
134.0,4.8
410.0,4.7
62.0,4.7
380.0,4.7
250.0,4.6
69.0,4.7
77.0,4.7
88.0,4.7
68.0,4.7
65.0,4.6
27.0,4.3
106.0,4.6
90.0,4.7
27.0,4.6
68.0,4.6
71.0,4.7
28.0,4.6
108.0,4.6
82.0,4.6
45.0,4.7
65.0,4.4
132.0,4.7
139.0,4.6
135.0,4.6
71.0,4.7
120.0,4.7
79.0,4.7
93.0,4.7
43.0,4.4
159.0,4.7
157.0,4.8
65.0,4.6
27.0,4.6
17.0,4.5
97.0,4.8
71.0,4.7
73.0,4.5
78.0,4.4
79.0,4.7
75.0,4.6
74.0,4.6
175.0,4.7
96.0,4.7
101.0,4.7
61.0,4.5
84.0,4.6
134.0,4.7
74.0,4.6
68.0,4.6
73.0,4.7
114.0,4.6
75.0,4.4
83.0,4.6
55.0,4.5
150.0,4.7
111.0,4.7
118.0,4.5
94.0,4.6
35.0,4.6
39.0,4.6
90.0,4.7
255.0,4.7
76.0,4.6
158.0,4.6
73.0,4.6
127.0,4.6
70.0,4.4
40.0,4.6
65.0,4.6
95.0,4.6
70.0,4.6
70.0,4.6
90.0,4.7
125.0,4.7
41.0,4.7
34.0,4.5
87.0,4.7
155.0,4.7
298.0,4.7
65.0,4.6
31.0,4.5
91.0,4.6
128.0,4.7
140.0,4.6
82.0,4.7
82.0,4.7
86.0,4.7
32.0,4.5
81.0,4.7
121.0,4.6
92.0,4.7
75.0,4.7
51.0,4.6
95.0,4.7
181.0,4.6
79.0,4.6
101.0,4.7
47.0,4.6
74.0,4.7
255.0,4.7
105.0,4.7
76.0,4.5
49.0,4.6
84.0,4.6
148.0,4.5
49.0,4.7
91.0,4.7
81.0,4.6
90.0,4.7
186.0,4.7
117.0,4.6
91.0,4.7
127.0,4.7
152.0,4.7
40.0,4.6
28.0,4.5
56.0,4.6
28.0,4.6
17.0,4.4
35.0,4.6
81.0,4.7
19.0,4.7
40.0,4.7
75.0,4.8
88.0,4.7
133.0,4.7
56.0,4.6
104.0,4.7
125.0,4.7
68.0,4.7
214.0,4.7
19.0,4.7
130.0,4.9
84.0,4.6
75.0,4.7
